subject,organ,accept,dice,iou,tp,fp,fn,pred_vox,gt_vox,status,num_voxels,volume_mm3,is_empty,centroid_x_rel,centroid_y_rel,centroid_z_rel,bbox_x_rel,bbox_y_rel,bbox_z_rel,bbox_volume_mm3,mask_to_bbox_ratio,num_components,largest_component_fraction,touches_boundary,boundary_fraction,mean_HU,median_HU,std_HU,p05_HU,p95_HU,orig_axcodes
s1106,rib_left_4,0,0.3365,0.2023,161,635,0,796,161,low_dice,796,2686.5,0,0.0804,0.8596,0.8324,0.2273,0.1909,0.3152,51384.38,0.0523,3,0.9271,1,0.0565,213.1,218.0,105.01,50.0,390.0,RAS
s1106,rib_left_5,0,0.0,0.0,0,628,328,628,328,low_dice,628,2119.5,0,0.0591,0.9319,0.5362,0.1455,0.1273,0.2609,18144.0,0.1168,2,0.9984,1,0.0732,202.51,198.5,118.18,45.35,405.9,RAS
s1106,rib_left_6,0,0.0,0.0,0,0,128,0,128,miss,0,0.0,1,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,RAS
s1106,spleen,0,0.8179,0.6919,2673,265,925,2938,3598,ok,2938,9915.75,0,0.3017,0.035,0.0945,0.4,0.1,0.2609,39204.0,0.2529,2,0.9336,1,0.1535,99.26,98.0,63.37,0.0,204.0,RAS
s1106,sternum,1,0.95,0.9048,7959,565,272,8524,8231,ok,8524,28768.5,0,0.6751,0.8902,0.7002,0.2364,0.2636,0.663,155229.75,0.1853,1,1.0,1,0.0278,174.1,158.0,145.97,-16.0,425.0,RAS
s1106,stomach,1,0.9596,0.9224,49863,560,3634,50423,53497,ok,50423,170177.62,0,0.2335,0.529,0.1192,0.6727,0.8273,0.2826,590908.5,0.288,2,0.981,1,0.0359,-128.94,32.0,370.61,-967.0,144.0,RAS
s1106,superior_vena_cava,1,0.9725,0.9465,2158,44,78,2202,2236,ok,2202,7431.75,0,0.8313,0.3522,0.8435,0.1455,0.1,0.337,18414.0,0.4036,1,1.0,1,0.0391,139.68,141.0,42.58,66.0,207.0,RAS
s1106,trachea,1,0.9589,0.9211,1634,25,115,1659,1749,ok,1659,5599.12,0,0.6011,0.1929,0.9502,0.6182,0.1273,0.1087,32130.0,0.1743,2,0.6203,1,0.1296,-930.61,-977.0,126.97,-1018.0,-637.7,RAS
s1106,vertebrae_T10,1,0.9945,0.9891,2718,9,21,2727,2739,ok,2727,9203.62,0,0.6292,0.0332,0.3542,0.2364,0.1091,0.2065,20007.0,0.46,2,0.9996,1,0.1327,273.47,234.0,141.49,128.3,527.0,RAS
s1106,vertebrae_T11,1,0.9928,0.9857,4887,21,50,4908,4937,ok,4908,16564.5,0,0.6317,0.0529,0.1547,0.2545,0.1545,0.2283,33736.5,0.491,1,1.0,1,0.0829,242.29,224.0,97.52,113.0,433.0,RAS
s1106,vertebrae_T12,1,0.9798,0.9604,1772,62,11,1834,1783,ok,1834,6189.75,0,0.6367,0.0803,0.0224,0.2455,0.1727,0.25,39821.62,0.1554,3,0.9885,1,0.2459,249.63,240.0,93.09,118.0,420.0,RAS
s1106,vertebrae_T5,0,0.0,0.0,0,52,0,52,0,false_positive,52,175.5,0,0.6318,0.0491,0.9872,0.1182,0.0545,0.0217,526.5,0.3333,1,1.0,1,0.8269,500.4,474.5,98.36,376.4,697.45,RAS
s1106,vertebrae_T6,0,0.007,0.0035,1,238,46,239,47,low_dice,239,806.62,0,0.6415,0.0273,0.9608,0.1455,0.0818,0.0652,2916.0,0.2766,2,0.9958,1,0.1339,311.6,287.0,113.06,175.8,530.1,RAS
s1106,vertebrae_T7,0,0.8497,0.7387,803,1,283,804,1086,ok,804,2713.5,0,0.6326,0.0191,0.8846,0.1364,0.0636,0.1522,4961.25,0.5469,1,1.0,1,0.2152,266.46,241.0,108.9,135.0,472.85,RAS
s1106,vertebrae_T8,1,0.9842,0.9689,1027,4,29,1031,1056,ok,1031,3479.62,0,0.632,0.0179,0.7251,0.1636,0.0636,0.163,6378.75,0.5455,1,1.0,1,0.2211,294.6,275.0,106.57,153.0,484.0,RAS
s1106,vertebrae_T9,1,0.9883,0.9768,1514,15,21,1529,1535,ok,1529,5160.38,0,0.6281,0.0224,0.5407,0.2091,0.0818,0.1739,11178.0,0.4617,1,1.0,1,0.1857,296.96,265.0,134.64,144.0,541.8,RAS
